11:29:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:29:36     all    7.47    0.00   11.49    0.00    0.00    0.00    0.00    0.00    0.00   81.03
11:29:37     all   12.90    0.00   21.94    0.00    0.00    0.65    0.00    0.00    0.00   64.52
11:29:38     all   11.11    0.00   23.53    0.00    0.00    0.00    0.00    0.00    0.00   65.36
11:29:39     all   11.69    0.00   23.38    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:29:40     all    0.51    0.00    2.05    0.00    0.00    0.00    0.00    0.00    0.00   97.44
11:29:41     all   11.46    0.00   19.11    0.00    0.00    0.00    0.00    0.00    0.00   69.43
11:29:42     all   13.73    0.00   20.92    0.00    0.00    0.00    0.00    0.00    0.00   65.36
11:29:43     all   11.54    0.00   23.08    0.00    0.00    0.64    0.00    0.00    0.00   64.74
11:29:44     all    9.15    0.00   15.24    0.00    0.00    0.00    0.00    0.00    0.00   75.61
11:29:45     all    2.12    0.00    4.76    0.00    0.00    0.00    0.00    0.00    0.00   93.12
11:29:46     all   13.07    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   64.71
11:29:47     all   11.69    0.00   23.38    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:29:48     all   12.99    0.00   21.43    0.00    0.00    0.65    0.00    0.00    0.00   64.94
11:29:49     all    4.40    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00   87.91
11:29:50     all    5.26    0.00   12.28    0.00    0.00    0.00    0.00    0.00    0.00   82.46
11:29:51     all   13.25    0.00   20.53    0.00    0.00    0.00    0.00    0.00    0.00   66.23
11:29:52     all   13.64    0.00   22.08    0.00    0.00    0.00    0.00    0.00    0.00   64.29
11:29:53     all   11.54    0.00   23.72    0.00    0.00    0.64    0.00    0.00    0.00   64.10
11:29:54     all    0.00    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   98.48
11:29:55     all   11.46    0.00   21.02    0.00    0.00    0.00    0.00    0.00    0.00   67.52
11:29:56     all   13.64    0.00   21.43    0.00    0.00    0.00    0.00    0.00    0.00   64.94
11:29:57     all   11.61    0.00   23.23    0.00    0.00    0.65    0.00    0.00    0.00   64.52
11:29:58     all    8.43    0.00   15.06    0.00    0.00    0.00    0.00    0.00    0.00   76.51
11:29:59     all    3.21    0.00    4.81    0.00    0.00    0.00    0.00    0.00    0.00   91.98
